name,datetime,rating,review,summary
'yuruyuri',mar 31 2013,5,'i really liked yuruyuri  it had a storyline that got me hooked onto the series  its slice of life so you know its going to be funny  all the characters have there own characteristics with makes the show unique  i really  truly  recommend this to teenage girls or teen girls  i really was hoping for a season 3  but hey maybe they will','i loved the series'
'rwby',jul 29 2018,4,'i just have never liked art styles like this show is made but i got over it after the first episode i wasnt in love with the series but i was curious and i just kept wondering what they were going to come up with next i thought this was just some tween show and i wasnt really looking at the events that happened at first and then something big would come out in the story and i would think back','getting past the art'
'megalobox',apr 26 2018,5,'this is not a great work of art that will be legendary for decades like cowboy bebop as such i couldnt stand seeing it lose in average rating to these legends but to any other standard it is pretty much perfect so i couldnt justify giving it 4 stars a perfectly balanced mix of gritty realism and idealism beautiful art and animation interesting opponents a good balance of preparation and','i wanted to give it a 4 start rating but it was too good'
'cerberus',apr 6 2016,5,'so far for the first episode i got the chills now im anticipating the rest of the season also it has a good start to an actionadventure anime but you never know if it will turn into a completely different plot for what ive seen now all i can do is wait with anticipation','in my opinion i think this show could go far'
'citrus',feb 11 2018,5,'when i first went to watch the show i was expecting cheap gratuitous fan service bordering on soft core porn but this show is so much more than that  the art is beautiful the animation is well done and the entire show feels like it comes from the heart  the character development is exceptionally well done and puts many most other anime to shame  go into this show with the right expectations','subverts expectation'
'rwby',aug 18 2013,5,'monty oum and the rooster teeth crew do a fantastic job for having so few resources the biggest complaint is that the episodes are so short which is the sort of complaint any producer likes to hear the demanding of more  for full enjoyment expect as very low budget presentation while watching then be suprrised once in a while when the animators manage to kick ass even though i would','for the size of their staff'
'rwby',nov 29 2015,5,'rwby is such a fun show it really takes a different turn from what your regular anime is generally seen as with each season it seems to improve and i really like the increase episode times as the seasons continue i would recommend this to a lot of people because in my opinion you can see the hard work and dedication that this indie anime has in it  i started watching rwby when the white','a lot of fun and a new experience'
'yuruyuri',sep 10 2012,4,'and it was really fun totally on crack like ouran host club and not trying to hide it at all totally a plus in my book its a silly fan service ish show that will leave you feeling happy a great way to unwind when you dont want to think about anything to deeply','my first foray into anything shoujo ai'
'idolish7',oct 22 2018,5,'absolutely love this anime so glad they got picked up for a second season i cant wait for more songs and dance to come out so excited to watch what happens next these boys had blessed my heart and now i am an absolute fan i can not wait for the second season to premier','review on idolish7'
'megalobox',apr 18 2018,5,'stop what your doing and watch this anime now best in its class very well done hooked and looking forward to the ride this is a rarity indeed with all the crap thats out there right now dont let this one slip buy good camera work and very well produced','watch now wow just wow'
'ebiten',mar 23 2013,1,'the artistic style aside the story of this series leaves much to be desired two dimensional stereotypical characterization leads this show but where for me nowhere at all but to flush it from my mind and let it float away with the refuse','predictable and dull'
'wagnaria',jan 2 2015,5,'where do i start  first i am a fan of funny slice of life with romantic hints on the side stories this anime hit the spot  all the characters are well thought of   the voices were superb and the story that put them together awesome  it was interesting how they all came together and became part of the restaurant staff the story was ridiculously absurd yet with so much hints of reality','season 3 would make it better'
'magi',mar 10 2013,5,'if it were my ruling any anime fan would have to watch this amazing show its got almost every element of anime in here ecchi magic action everything is in here not only that but the story embedded in the beautiful animation is great  magi in my book will go on as one of the best ive ever seen and guess what it doesnt look like itll end anytime soon i excitedly wait every week','one of the best magi is a must watch'
'idolish7',apr 28 2018,5,'if you think this is just another idol group you would be wrong the seven actually have distinct personalities and goals throughout the show something i was worried might not occur  they also work really well together each bringing something unique to the group  at first glance it may seem like every other idol anime out there but it actually brings new things to the table','give us more please'
'rwby',jan 21 2014,5,'good first season that introduces the world and characters first season spends its time doing what any new show does exposition and character introduction that is not a bad thing though the the world is interesting and the characters very lovablelooking forward to the plot moving forward and this becoming what it is meant to be','a good start to a great thing'
'rwby',dec 9 2015,5,'very rare do i see a good animation for 13 especially made by an american company the animation may seem bad at first but you will quickly adapt to it and enjoy it my favorite is blake the plot line is really good will make you want for more not to mention season 2s opening is probably one of the best openings i have ever heard','one of a kind definitely good'
'megalobox',apr 27 2018,5,'just 4 episodes in and i can say this feels like it will become a classic the art and story feel like this anime was made with love and care it just reminds me of the anime i grew up with 90s its your standard underdog boxer story with a mecha twist and so far they do it well','old skool anime is back'
'rwby',sep 13 2013,3,'rwby is a bit disappointing  it has so much potential but its flaws few as they are are just to prominent  story 45   okay ill admit im being bias but i just cant help but love a story about a strong woman whos weapon of choice is a scythe  that aside the story feels cliched but cliche sells  animation 25   i just cant get over how good the action scenes look compared to the','good but could be better'
'megalobox',sep 9 2018,5,'i wasnt totally sure if this anime was gonna be good at first but within just a few episodes i was hooked  with every episode you watch youll get more hype to see joe fight  i cannot stress enough how amazing the old school style is as well as the outstanding soundtrack  every boxing match is well choreographed  feel likes youre witnessing a real boxing match  the only issue i had with','urge to box rising'
'magi',jul 4 2014,4,'ive always loved this show because of its wit and wisdom its both cheerful and dramatic the characters are some of the most lovable ones out there little alibaba possesses such a loyal character aladdin always is trying to help georgiana is so strong and confident and sinbad is well sinbad he is the one and only glorious conquer of the seven labyrinths the story is great as we','quite magical and spectacular'
'megalobox',apr 16 2018,5,'if you were ever a fan of hajime no ippo or ashita no joe then you will like this if you are a fan of methodical animation you will like this if you enjoyed the aesthetic or story to cowboy bebop you will like this even if you have no taste and are here to just post a troll review for the sake of dragging down the overall score of this show you probably still like this','a fantastic reimaging'
'megalobox',aug 17 2018,5,'its a new age production that mimics the old school styles of art story telling and character development  very reminiscent of shows like cowboy bebop and ashita joe which it seems to be a spiritual successor of  the characters grow and change throughout the series there are no actual bad guys and overall most things dont go as youd expect them to i highly recommend this series','new age old school goodness'
'citrus',feb 16 2018,5,'i have kept up with the manga to the latest chapters and let me tell you it is an amazing and beautiful story the amazing ways that mei and yuzu repel and attract keep you at the edge of your seat ready to see the ways that the attraction is stronger than the repel  if you do not keep up with the manga then you will immediately hate mei i understand that but you need to keep watching and','you need to keep watching to truly love this anime'
'glasslip',sep 27 2014,2,'this is my first review for an anime on crunchyroll the classical music and animation make this series look the best out of the ones that ive seen this summer however as i continued to watch i noticed that those two things were all that kept me from quitting and picking another series to watch what really drew me to the series though was the glass blowing thing i thought that the glass','a waste of potential'
'akb0048',jul 7 2015,1,'im confused on how this can get so many good reviews the story in the first episode thats how long i watched i give every anime the first episode to impress me  however i felt ashamed having to watch such a dull storyline that doesnt tell you what the hell is going on  now onto physic  their physics seems to be as such if they have an plane hover without moving then how come','akb0048 the cgi adventure'
'rwby',feb 1 2016,5,'killing my feels one babe at a time   seriously you build these bonds with these lovely characters and then you feel there pain  and there is a lot of pain like seriously the writers are out to kill us   like do you need to make me so emotional dude','love this series too much'
'rwby',jan 29 2017,5,'i think the show is amazing the stories are well written the characters are well developed and complex the world is consistent and unique but feels familiar and relatable  the characters  fit well within it it is refreshing to see a show like this','breathtaking entertainment for all ages'
'citrus',feb 10 2018,5,'i found this show when the first 4 episodes where released i just got my 12 month subscription so i was ready to use it to my full extent   i decided to binge watch the first 3 episodes to see if the anime was any good i was tempted to stop at the end of episode one because of the sexual assault scene between mei and yuzu it made me feel uncomfortable but i decided to call it a one off event','always remember apply the 3 episode rule'
'megalobox',jul 2 2018,5,'this champion level accomplishment belongs in anime masterpiece theater along with showa rakugo shinjuu and sangatsu no lion its like a gritty painfully beautiful episodic film that celebrates the triumph of the indomitable underdog overcoming a dystopian neo dickensian favela esque environs rewatching ep 1 is such a treat now every theme scene and conversation is not only echoed but','not your average joe  this ones immortal'
'rwby',nov 18 2014,5,'i love the story line it is not only captivating and compelling but profound please release more episodes sooni i have complete faith in the quality of the rooster teeth teams artistic talents and each member deserves our deepest thank you','true work of art'
'megalobox',apr 5 2018,5,'boxers represent the quintessential story   as far as athletes are concerned   in that their careers are short brutal and glorious this is especially true for boxing in anime and manga ashita no joe hajime no ippo which makes this story all the more worth watching    buckle up for a fast rise and a beautiful painful end because ashita no joe is back and we get to watch him kick ass with','came for the nostalgia and stayed for the beautiful view'
'saki',jun 25 2009,5,'storyline  in my opinion the storyline is awesome and completely takes on a world of its own this anime somewhat relates to anime such as hikaru no go and shion no ou but the family situations in this anime allow it to stand alone even though the story is kind of slow moving with the flashbacks and the many matches the details make it easier for viewers to catch on to what is going','saki an anime that totally caught my attention'
'rwby',aug 16 2013,5,'just the fact that this show is on here from roosterteethcom is just awesome  they have some really awesome and funny shows  makers of red vs blue and now this show this just made my year   this is def a show to watch monster hunting with a little drama and bad ass fighting scenes','this show is awesome'
'magi',mar 16 2014,5,'magi while not my favorite anime is near the top in regards to action however my greatest concern with magi is all of the filler episodes that while having some action do not compete with the level of action in attack on titan or sword art online','magi amazing but with loads of filler'
'rwby',may 16 2018,1,'volumes 1 3 with the japanese vas are great solid 810 however the original english vas are utter trash and ruined the show completely it really bothers me because the show is pretty damn great too do yourself a favor and wait for the other volumes to get a japanese dub','voiceactorsaretrash'
'rwby',feb 26 2018,5,'i could not love this show anymore than i do that being said i can still see the problems that the show has the first season and the following season have bad animation and some debate ably okay voice acting overall the show gets better as the seasons go on overall i say its a good show however as i said it has some problems','love this show even with some issues'
'rwby',sep 26 2015,4,'set in a futuristic land this old high school story has a big twist taking a different approach from the ninjasamurai genres rwby takes up an original perspective where warriors use specialized advanced and unique weapons of all the things to talk about the art style and animation stand out the most fights and action are intense and fast rwby uses its own original and unique art colors','an interesting take in the fighting genre'
'gankutsuou',jul 19 2012,5,'this is the best anime i have ever seen i feel that cowboy bebop was the best anime of the last decade it held the 1 spot on my list of all time favorites for several years but gankutsuou has since toppled it for me by a landslide even forcing the delights of hayao miyazakis sparkling workshop down to the middle of my list there is no precedent for gankutsuou in anime when it comes to the','a feast for the senses'
'chaoschild',nov 19 2018,5,'chaoschild is in my opinion the best anime i have ever seen and is only barely ahead of the chaoshead and steinsgatesteinsgate 0 as the most emotional coolest and altogether amazing to watch anime of all time if you like sci fi and want something to really make you look forward to keep on keeping on i guarantee these are anime you want to watch if you arent exactly the sharpest knife','chaoschild just another amazing anime in the science adventure series'
'rwby',aug 4 2014,5,'rwby is one of those examples of how a show can do a lot of small things right in order to make it great it doesnt have the largest budget but the art style is unique quirky and memorable small details like how blood fluttering petals add a nice flare to already dramatic and intense action scenes the quirky humour and witty banter between the characters in the side scenarios are what made','quirky surprise for any anime fan'
'rwby',sep 6 2013,5,'i was looking over the shows for crunchyroll any updates and such but then i found this show and thought it looked interesting when i saw who was involved with this title i almost jumped off my couch i was excited to see monty oum name pop up after watching the previews for this show i ws hooked it was nothing less than waht i expected from monty just like haloid and dead fantasty it was','monty oum is back'
'yuruyuri',jun 5 2016,5,'ive literally watched this show over so many times yet it is always just as cute each and every time if you want really really gay this is it if you want super cute this is it if you honestly just want to not hate yourself for a little bit this is the thing theres lots of refs in this show running gagsjokes good char development cute as hell yuri just everywhere its the best cute','honestly the best thing'
'citrus',aug 20 2018,4,'since its a 12 episode series id say it showed enough of what citrus is all about and the highlight were yuzu and mei the pacing for the show is hard to understand but it helps if you want to see how yuzu and mei would act its cute and the opening song is addicting but definitely read the manga the anime should be used if youd rather listen than read the whole citrus story','good but not as great as the manga'
'glasslip',sep 11 2014,4,'the story itself is very simple but the beautiful animation itself makes this anime very easy to watch it is one of the few anime i have sat and watched each opening just because it is so easy on the eyes not one i would watch a second time through though','simple story stunning animation'
'glasslip',apr 20 2015,3,'while the art is quite enjoyable and overall would maybe watch for the visuals it left much to desire the metaphors and interaction are good in a true slice of life sense little movement in how people interact and slow movement in relationships based on people put out of their comfort zones make sense in the flow of the show but the ambiguity of how the ending is with the two mcs leaves','wrapping the metaphors'
'magi',jan 15 2014,5,'honestly i was turned away when i first saw the cover for the manga of this series but when i saw the cute little red headed pack puncher in an amv featured on youtube i just had to take a look and i have to say that im glad that i finally gave it a shot because i have fallen in love not only with morgiana but with alibaba aladdin sinbad and a whole bunch of other characters in this','morgiana morgiana morgiana'
'yuruyuri',nov 9 2017,5,'first i love this show i dont really put it with anything else cause its just its own thing it kinda goes in the slice of life shows but the light hearted yuri makes it so nice and different and there is some sort of plot if you squint and things happen and do change which i love i enjoy all the characters way to much and the buns are amazing and i want to get a pair my self its cute','just except that her buns are amazing'
'rwby',jan 24 2016,5,'when i started watching the series i wasnt to impressed but after 3 episode i was hooked music is catchy and characters are very unique i am all caught up to the newest episode so excited to see whats next i hope they really get popular and start making longer episodes love the series','all in moderation'
'yuruyuri',apr 19 2017,5,'yuruyuri translates directly to easygoing lily but translates more accurately to easygoing lesbians and thats what its about a group of twelve and thirteen year old girls having mostly one sided crushes on each other with no heavy drama dont be fooled though this is no brainless or child safe slice of life show its really more like the simpsons only not as harsh  the secret to','hilarious and so so wrong'
'rwby',nov 21 2013,5,'if you like fight scenes in anime prepare your eyes for a feast although some parts can be a bit iffy to look at when they are walking etc i think this season has just opened a bunch of doors for them to just walk right through','overall awesome and more awesome'
'rwby',oct 26 2015,5,'i absolutely love this series i have been a fan of rooster teeth for years so i was lucky enough to get to see this series since its beginning stages wow the first episode of volume 3 looked amazing even after seen the early looks at rtx still didnt give it justice i am truly sadden that monty oum passed away but i am eternally grateful for the legacy he left behind he was a truly amazing and','finally its back'
'rwby',jun 15 2018,5,'looking past some of the old graphics the story plot fight scenes and charactersall the stuff that really matters is really really good   so worth the watch and im picky _  3 3 3  beeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeessst show','lovve it yo so so much'
'citrus',mar 28 2018,5,'i am loving this anime it deffinantly makes me want to read the manga now to see where the story goes i do hope they make a season 2 though as id love to see how the ending of this first season plays out further down the time line i especially love the facial expressions in this anime they convey the feelings quite well the voice acting is on the spot as well the only con i have is that it','very entertaining lovely story'
'glasslip',aug 2 2015,1,'i know what youre thinking this anime looks interesting right do yourself a favor and read the reviews i think youll come to notice a pattern pretty quickly people seemed to think a lot of the same things about this series that should be a hint right off the bat this anime has gorgeous animation and a beautiful soundtrack thats literally it thats all it has going for it there is','first review ever first disappointment ever'
'glasslip',sep 28 2014,5,'i finally finish all the episodes of glasslip but i really like it and i enjoy it too i overall this should make it easy to watch but i find it like weird since i first watched this show because i didnt get the plot and what they were doing so this anime need to get on faster not slowly but i wanted this show to be like to episode 26 like nagi no asukara but not','best show ever d'
'magi',may 1 2016,5,'i love this anime so much and everything about it it has a variety of different aspects to it and is extremely entertaining the story is very interesting and there are so many lovable characters each with their own backstory and unique personality   phenomenal animations  loving characters to which you will grow to become attached to  bad ass character designs and magic battles  one of','this anime is a masterpiece'
'cerberus',apr 4 2016,2,'im okay with the overall dragonheart plotlinecharacter designand environmentthough i cant forgive the horrible dialog and sub par animation  usually you need the dialog pulls you from action to action scene but it doesnt give you any satisfactions of it getting any  better','dialog and animation fails me'
'rwby',sep 18 2013,2,'rwby has potential and the plot has yet to unfold basically these 4 girls are set out to become huntress to fight the grimm evil monsters in their world the animation and voice over is terrible to say the least but the action pack fight scenes are what keep me interested another issue is that the episodes are sometimes 4 minutes or 6 minutes 7 minutes long they end almost as quickly as they','definitely worth a look'
'rwby',mar 8 2019,4,'first time i saw this i just browsed the info and watched the first 10 seconds before i said auch what is this several months later i was out of ideas and started watching unexpectedly i enjoyed it alot good plot cool animations and music ended up watching everything over the course of a few days a good mix between funny action unexpected plot twists and moments where i feel part of','not what i expected at all'
'rwby',jan 21 2015,3,'good anime great fighting scenes different style of animation  but one thing makes the experience of watching rwby bad   the american dubbing seriously its the  worst thing its sad because i liked the animation but id rather watch it with no sound','good anime terrible dubbing'
'citrus',feb 3 2019,5,'idk what to say its just good  i mean its weird but something about it just makes u wanna watch the next episode now that i finished it i really want a season 2  anyway idk what else to put here so im just gonna span some stuff asdasdasdasdasdasdasdasdasda','good very good tbh'
'megalobox',nov 5 2018,5,'ive just finished this one and i loved it only criticism is that it feel somewhat rushed and that its a lot shorter than it could have been without feeling like its been purposely dragged out unfortunately you cant really do a sequel to this but a spin off has potential but that would mean dropping the main characters which would be a shame','an epic underdog story'
'glasslip',jul 3 2014,5,'after finishing the first episode im quite pleased and am looking forward to watching this show progress into its later stages it has beautiful animation lively characters who as a group are diverse in terms of their differing personalities soothing music that fits well with the show and an intriguing story so far to top it all off if youre a fan of slice of life anime or are a fan of','looking excellent so far'
'rwby',apr 25 2018,2,'seasons 1 3 were pretty good but after that the lead animator monty oum died and rt really doesnt have anybody that can hold a candle to him everything past season 3 just gets worse and worse as rt has to think for themselves rather than have monty do it for them','was great until animator died'
'akb0048',nov 30 2013,5,'i picked this completely at random and found a gem i was at first thinking  great a cutesy series with idols and then the tone of an oppressed people hits you so i start thinking ok its darker than i thought it would be maybe it wont be all happy rainbows next thing i know im enjoying the music and getting into the songs and i thinking what the hell im a metal head i dont enjoy','went into this blind with a random scroll on alphabetical and was not disappointed'
'glasslip',sep 18 2014,3,'have you ever felt like romantic dramas needed a bit more complexity to them sure you want the story to feel realistic glasslip adds 1 point and then multiplies by 1 million on the complexity level its so convoluted and all over the place that i still dont understand whats happening and its only the series finale thats left so i doubt ill be getting an explanation the series obviously','its high school teen love'
'rwby',oct 29 2015,5,'even though it may have cheap graphics but may you please make another season because this show is too awesome and everybody was looking forward to another season but ended up having one episode in that season please im begging you to create even more episodes ad seasons to this series','episodes for this show'
'rwby',feb 14 2016,4,'so usually im pretty critical when i type up a review but i will admit i am a sucker for great characters likeable characters make a series just gel so much better when you like and feel for the cast the fights become more intense the comedy becomes more endearing and the story that maybe isnt that great sticks with just a little bit more  my point is what rwby lacks in its occasionally','a show carried by its amazing cast of characters'
'rwby',jul 27 2014,4,'in regards to the first season the opening music made me cringe withdispleasure i guess the ending music was pretty generic my biggest complaint though is the episodes are way too short felt like i was watching youtube shorts most of the time','welli very much enjoyed the show but'
'magi',aug 14 2013,3,'it had a great start but just not enough to keep my attention a for effort though it just wasnt for me considering i like bleachand air gear naruto etc etc but just ddnt have the kick i was looking for','it was good but not great'
'megalobox',jul 17 2018,5,'the art style the music the story and the production all top notch  really enjoyed this one and while i wanted to see a bit more about the rest of their world the ending is quite satisfying   also pleasantly surprised that the boxers from other countries actually spoke in the right languages and the american boxer actually sounded like a real american not sure how accurate the','a mix of cowboy bebop ippo and samurai champloo'
'rwby',aug 5 2014,5,'this anime could only get more awsome if the episodes where longer andor if they were releashed twice a week   the story might be a bit liniar but the anime and the action through and through more than make up for it  the first episode in volume 1 and the first in volume 2 are my favorite episodes of all','one of my top 5 anime'
'wagnaria',apr 5 2016,5,'simply put if you like the slice of live genre at all or are interested in giving it a shot this is a great series to watch  felt very complete and thorough with a ton of funny high points and just enough sad low points to make you more interested in the outcomes  the multiple story lines that go on during the series dont invade upon each other or get mixed up which makes it flow very','a fun slice of life series that anyone could enjoy'
'magi',feb 12 2014,5,'if i were to describe magi in one word i would need to invent a new word  for the longest time i was aware of the manga for magi but always put out reading it even when the anime came out i didnt start watching it right away i dont know why maybe because magi wasnt extremely hyped or talked about back then however when i did start watching it i almost couldnt believe what a gem of','possibly the best anime i have every seen'
'citrus',mar 5 2019,5,'this series is often misrepresented as being all fan service and trashy romance there are a few scenes especially early that are a little fan service y but for the most part its not existant except for the fact that the characters are all beautifully designed theres a loveable cast and a good soundtrack over some well animated scenes if you like coming of age romance then give citrus a shot','perfect for lovers of yuri and personal drama'
'megalobox',jul 7 2018,5,'good characters with some development over the series a couple of the twists are a bit on the extreme side but the story gives enough justification that im okay with that  great graphics  the premise is shallow but the rest more than makes up for it','this will be a cult classic'
'cerberus',apr 22 2016,5,'awesome protagonist for once doesnt start off as a genius or as incredibly strong instead we get to see his willpower and also his humanity cool but can be playful someone who i can see growing and maybe getting a darker side through the anime girl lead is awesome too','awesome main character'
'citrus',feb 15 2018,2,'you watch eromanga sensei and think why does every girl have to be sexualized especially the little sister at a certain point it just becomes a harem anime then you get to this anime  literal incest no consent either consent just doesnt exist in this world i guess either that or theyre just both sexually assaulting each other every other episode they are  you watch eromanga','this is the weird anime of the season eromanga sensei 20'
'cerberus',nov 26 2017,5,'i dont understand where all the hate for this is coming from its really not all that bad overall i thought it was a good watch id definitely recommend it characters have decent development and storyline progresses at a nice pace without all the filler crap','actually pretty good'
'citrus',feb 16 2018,5,'this show is the best show of 2018 not gonna lie i thoroughly enjoyed the deep love triangle between the rapists it is the best gift i ever received for 2018 the anime is amazing the art is amazing there is a wallpaper for me every 1 second however this show requires for some deep understanding and somehow i found out this show is out of my autism capability nevertheless this great show','911 best show 2018'
'magi',mar 24 2014,4,'remember slayers and co  those old anime with scenes or even entire scenarios built on slightly inappropriate and nonsequitur humor slowly blending into a more traditional fantasy  sci fi drama magi is exactly like that  its extremely formulaic id say to a fault and the weirdness  inappropriate humor does go overboard quite often especially during the early episodes but its','kind of reminiscent of 90s anime'
'magi',aug 20 2016,4,'decent story likable characters even the evil ones and epic a very solid anime i started to watch it with low expectations but i got sucked in right away it reminded me a lot of the twelve kingdoms one of my favorite series definitively recommended','a must see for fans of fantasyadventure anime'
'citrus',jan 27 2018,5,'the animators and the producers did an excellent job mainly for the fact that they followed the manga correctly even using parts of the story of the manga that were not originally there placing it so that it would fit perfectly like for instance the scene where mei talks about her dad at the dinner table in the manga they really went to a local mall and talked about  in a restaurant in food','i loved how it played out'
'megalobox',apr 7 2018,5,'with its beautiful art direction smooth transitions great voice acting and compelling main character trying to decide what he wants out of life this anime is really going places  ive been hyped up from only the first episode and that doesnt normally happen with me it takes a couple to usually fully lure me in but this one does its job well  highly recommended for fans of underdogs','its only round 1 and im already invested'
'magi',apr 30 2014,5,'i  i found it to be one of the best action adventure fantasy out there hands down i could re watch the whole thing and it would still be amazing if your looking for a new action adventure shonen fantasy this is it doesnt get any better then right here','way up there with the best'
'bakuon',may 12 2016,5,'it took me a few episodes but it finally dawned on me that the main character is basically yui and this whole thing is just k on with bikes even the name bakuon is basically k on but with bike instead of a k bike on  not complaining this is a fun show','something seems strangely familiar deja vu'
'megalobox',apr 8 2018,5,'in the first few minutes made me get the same feeling i got when i watch cowboy bebop for the first time it grabbed me and wouldnt let me go i love it when an anime can take me to a new world it wasnt super action packed or anything and i feel like that alone show the skill of the writing and actors the va was on point the art was great the characters got me wanted more and i always love','omg this is shaping up to be a new favorite'
'wagnaria',jul 3 2013,4,'i got a bit confused with the title thinking that this series working was not available here on crunchyroll what a shame  i ended up watching it on another site  another recommendation from a friend of mine who knows the kinds of shows i watch knowing i have a soft spot for anything high tech high school or slice of life one of which wagnaria happens to be i decided to check it','must be a nice place to work'
'magi',jan 3 2016,5,'without spoiling this series has everything well developed and progressing characters interesting twists mystery and intrigue multiple lines of development running concurrently likeable and unannoying regulars fast paced well drawn action it hits everything  i have a hard time finding anime that my entire family can enjoy we greatly vary in age and taste 7 people age 6 35 this','this one is a hit from every angle'
'akb0048',nov 8 2018,5,'think about  emailÂ protected s pinnacle scene where they come together for yakusuko now mutiply that scene by 5 thats akb0048  no matter what happens what the occasion may be the writers found a way to mix a song with an impactful moment and produce a powerful masterpiece it didnt matter if it was supposed to be a song about sadness joy dreams hope rage every song was masterfully fit','the star of idol shows'
'magi',feb 21 2013,5,'when i first found this i was skeptical about it but after watching a few episodes i found it to be an awesome show love the arabian knights storyline and the spin they gave it was watching on hulu but they didnt update it very fast and found a ton of the episodes here to watch so i was happy','awesome show love it'
'rwby',jan 8 2015,5,'the animation is below par sometimes painful to watch  they dont recap anything  the shows arent set to a standard length  the opening song is oddly short but the voice acting is spectacular  the plot is amazing  the character development couldnt be better  that opening song i mentioned  its beautiful  the animation style actually works well for the battles  dont let this','how do do everything wrongand still win'
'idolish7',may 18 2018,5,'so i watched this because ive played the game since it released because im a total sucker for rhythm games especially those that have ono kensho egutan and kenn in them haha honestly   this is probably one of the best idol anime period and i hate idol anime theres a real plot that follows the game very well and the characters are actually all developed the animation is a bit more','if youre looking for an idol anime thats actually good'
